TYPE1,TYPE2,TYPE3,TYPE4,TYPE5,TYPE6,TYPE7
CPU / MPU,OTHERS,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,LOGIC IC,,,,,
DISCRETE,LOGIC IC,,,,,
DISCRETE,,,,,,
LINEAR IC,,,,,,
DISCRETE,,,,,,
MEMORY_EMBEDED,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,LINEAR IC,LOGIC IC,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
LINEAR IC,,,,,,
CPU / MPU,,,,,,
LOGIC IC,,,,,,
LINEAR IC,LOGIC IC,MEMORY_EMBEDED,,,,
LOGIC IC,,,,,,
LINEAR IC,LOGIC IC,,,,,
LINEAR IC,,,,,,
LINEAR IC,,,,,,
LOGIC IC,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
LINEAR IC,,,,,,
LINEAR IC,,,,,,
LINEAR IC,,,,,,
DISCRETE,LINEAR IC,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,LINEAR IC,,,,,
LINEAR IC,,,,,,
LINEAR IC,,,,,,
LINEAR IC,,,,,,
DISCRETE,,,,,,
OPTICAL AND SENSOR,,,,,,
LINEAR IC,LOGIC IC,,,,,
LINEAR IC,,,,,,
PEMCO,,,,,,
DISCRETE,,,,,,
LINEAR IC,LOGIC IC,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
DISCRETE,,,,,,
LINEAR IC,,,,,,
MEMORY_EMBEDED,,,,,,
